name,categ,X,Y,Z,color
Нокардиоз,Инфекционные болезни,6.5695095,-4.8224645,6.135597,#460C5F
Нос с горбинкой,Эстетические проблемы,-10.449329,-7.1638217,12.519959,#23888D
Носовое кровотечение ,"Болезни уха, горла, носа",6.085473,2.3287935,-0.2010193,#208F8C
Носогубные складки,Эстетические проблемы,-8.06848,-7.9596953,13.736639,#23888D
НПВП-гастропатия,Болезни органов пищеварения,18.699787,-0.9763282,3.3383663,#404387
О-образные ноги,Болезни ОДС и травмы,-13.397593,5.744515,-0.28556237,#30678D
Обвитие пуповиной,Женские болезни,9.140735,16.319077,-3.303888,#48196B
Облитерирующий атеросклероз,Болезни сердца и сосудов,-4.253928,6.65038,-10.558971,#267F8E
Облитерирующий бронхиолит,Болезни органов дыхания,4.9691377,-5.8928905,0.067495815,#1E988A
Облитерирующий ксеротический баланит,Мужские болезни,5.346625,0.5049571,9.390807,#79D151
Облитерирующий тромбангиит,Ревматические болезни,-4.07956,6.8720264,-10.286479,#D2E11B
Облитерирующий эндартериит,Болезни сердца и сосудов,-4.104877,6.907675,-10.269308,#267F8E
Обморок (синкопе),Нервные болезни,0.2101728,-0.26076913,-14.296503,#440154
Обсессивно-компульсивное расстройство у детей,Детские болезни,-7.402084,-3.2711172,-17.798286,#64CB5D
Обструктивный бронхит,Болезни органов дыхания,5.514221,-9.082295,1.4745932,#1E988A
Обструктивный бронхит у детей,Детские болезни,6.098301,-9.909626,1.8350341,#64CB5D
Обтурационная кишечная непроходимость,Болезни органов пищеварения,12.613489,4.715069,3.7203834,#404387
Общее недоразвитие речи (ОНР),Нарушения речи,-10.398992,-2.0791066,-12.580734,#345E8D
Общий артериальный ствол,Болезни сердца и сосудов,-3.1129363,8.387815,-15.882057,#267F8E
Овуляторный синдром,Женские болезни,5.7135835,9.999521,-9.8119335,#48196B
Огнестрельная рана,Болезни ОДС и травмы,2.944638,3.6395173,0.74213475,#30678D
Одонтогенный гайморит,"Болезни уха, горла, носа",-1.610705,-0.3742991,4.8574367,#208F8C
Одонтома,Болезни зубов,-6.1098256,3.6322496,5.7930613,#FDE724
Ожирение,Эндокринные болезни,7.694142,3.2520163,-11.660453,#29788E
Ожирение у детей,Детские болезни,8.476764,1.7772311,-12.747573,#64CB5D
Ожог носа,"Болезни уха, горла, носа",0.25130257,-4.788747,4.2972064,#208F8C
Ожог пищевода,Болезни органов пищеварения,0.6787872,-5.579692,4.0226145,#404387
Ожог ротовой полости ,Болезни зубов,-0.40239495,-4.955836,4.390209,#FDE724
Ожоги,Болезни ОДС и травмы,0.55880034,-5.6564755,5.531074,#30678D
Ожоги глаз,Глазные болезни,-6.082226,-8.5461,3.0135686,#E7E419
Ожоги глотки,"Болезни уха, горла, носа",0.40172833,-4.8494544,4.1280565,#208F8C
Ожоги у детей,Детские болезни,0.46933323,-5.937078,5.480383,#64CB5D
Ожоговая болезнь,Болезни ОДС и травмы,4.7418184,-0.63168687,-11.876316,#30678D
Озена,"Болезни уха, горла, носа",-1.4855386,-1.772417,2.9699838,#208F8C
Окклюзионная гидроцефалия,Нервные болезни,-5.6809196,3.3728328,-6.551724,#440154
Окклюзия подключичной артерии,Болезни сердца и сосудов,-5.105645,6.2591558,-11.338489,#267F8E
