name,categ,X,Y,color
Пемфигоид,Кожные болезни,-13.092222,-6.956185,#FDE724
Первично-множественные опухоли,Онкологические болезни,-7.0730767,3.4220846,#404387
Первичное бесплодие,Женские болезни,-9.868761,9.993519,#29AF7F
Первичные иммунодефициты,Иммунные болезни,-3.7198236,-0.28576303,#462F7C
Первичный билиарный цирроз печени,Болезни органов пищеварения,4.313017,3.5729153,#345E8D
Первичный системный дефицит карнитина,Наследственные болезни,-1.4583467,-9.747,#29788E
Первичный сифилис,Венерические болезни,-13.732226,9.174881,#1E988A
Перегородка влагалища,Женские болезни,-8.757805,9.927324,#29AF7F
Перекрестный прикус,Болезни зубов,-17.428751,4.829883,#22A784
Перекрут ножки опухоли яичника,Женские болезни,-8.87205,10.501434,#29AF7F
Перекрут яичка,Мужские болезни,-11.230234,5.080961,#35B778
Перекрут яичника,Женские болезни,-7.5087805,9.339239,#29AF7F
Перелом,Болезни ОДС и травмы,-6.9299603,-14.434401,#2D6F8E
Перелом альвеолярного отростка,Болезни зубов,-18.504728,3.5696511,#22A784
