name,categ,X,Y,Z,color
Вульвит,Женские болезни,4.85389,-13.193842,-5.6748714,#460C5F
Вульвит у девочек,Детские болезни,1.5385365,-5.6204042,4.165999,#64CB5D
Вульвовагинит,Женские болезни,4.949895,-12.976226,-5.289843,#460C5F
Вульводиния,Женские болезни,5.198844,-13.249655,-4.4204664,#460C5F
Вульгарная пузырчатка,Кожные болезни,9.77965,-7.4043045,6.248681,#30678D
Вульгарная эктима,Кожные болезни,9.036173,-7.220551,5.3263783,#30678D
Вульгарное импетиго,Кожные болезни,8.7859745,-5.6643734,6.2927303,#30678D
Вульгарный ихтиоз,Кожные болезни,10.241682,-7.595942,6.643126,#30678D
Выбухающая дерматофибросаркома,Кожные болезни,8.668277,-7.580441,4.82421,#30678D
Вывих,Болезни ОДС и травмы,-5.7270555,-6.2862406,-1.5785055,#443982
Вывих бедра,Болезни ОДС и травмы,-6.1180763,-6.47165,-0.98077476,#443982
Вывих голеностопного сустава,Болезни ОДС и травмы,-4.927341,-5.8998094,-1.3802501,#443982
Вывих зуба,Болезни зубов,5.8010855,-6.331298,1.9886122,#2D6F8E
Вывих ключицы,Болезни ОДС и травмы,-4.707659,-6.809213,-2.0097115,#443982
Вывих коленного сустава,Болезни ОДС и травмы,-6.6090193,-6.845653,-1.0801324,#443982
Вывих надколенника,Болезни ОДС и травмы,-4.7779164,-5.5857606,-1.0826201,#443982
Вывих нижней челюсти,Болезни зубов,7.6684513,-9.175282,0.057891615,#2D6F8E
Вывих пальца,Болезни ОДС и травмы,-4.990708,-6.594226,-1.8570924,#443982
Вывих плеча,Болезни ОДС и травмы,-4.814126,-6.013277,-1.0557529,#443982
Вывих предплечья,Болезни ОДС и травмы,-5.442568,-6.002342,-1.0151742,#443982
Вывих стопы,Болезни ОДС и травмы,-5.4815865,-6.4699492,-1.4897819,#443982
Вывих хрусталика,Глазные болезни,7.1433783,-2.2893426,4.1647105,#462F7C
Вывихи кисти,Болезни ОДС и травмы,-5.4963236,-6.09713,-0.6412957,#443982
Выворот нижнего века,Глазные болезни,6.580521,-1.7350799,4.6717377,#462F7C
Вызывающее оппозиционное расстройство,Детские болезни,0.8738127,-5.65376,4.367609,#64CB5D
Выпадение волос,Болезни волос,12.811851,-9.48892,1.429098,#23888D
Выпадение геморроидальных узлов,Болезни толстого кишечника,2.6354203,-20.90827,-2.8005598,#53C567
Выпадение матки и влагалища,Женские болезни,4.8189826,-12.865492,-5.5159273,#460C5F
Выпадение прямой кишки,Болезни толстого кишечника,0.13837983,-18.750662,-4.4183617,#53C567
Выпадение прямой кишки у детей,Детские болезни,-0.77013326,-7.6496105,1.7790583,#64CB5D
Выпадение слизистой уретры,Урологические болезни,1.8827456,-14.322142,-5.5443883,#48196B
Газовая гангрена,Болезни ОДС и травмы,-5.9018364,-7.510655,-0.055813663,#443982
Гайморит,"Болезни уха, горла, носа",1.4202635,-4.6895304,-0.15962927,#FDE724
Галактоземия,Детские болезни,1.3852007,-3.5688398,5.7907295,#64CB5D
Галактофорит,Болезни молочных желез,4.573155,-7.9734845,-2.9373581,#E7E419
Галактоцеле,Болезни молочных желез,4.4592576,-7.965836,-2.362433,#E7E419
Гальваноз,Болезни зубов,8.458715,-10.372761,0.38924694,#2D6F8E
